OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
19671,2017,Multifamily LR (1-4),Low-Rise Multifamily,Sir Galahad Apartments,903 Bellevue Pl E,98102.0,3.0,EAST,47.62721,-122.32649,1928,3,1.0,28058,0,0.0,,34.3,33.5,81.7,79.1,829563,810273,0,527511,154604,3020,302052,18.22,0.65
19673,2017,Multifamily HR (10+),High-Rise Multifamily,Bellora,2716 Elliott Ave,98121.0,7.0,DOWNTOWN,47.61502,-122.35263,2003,13,1.0,106066,0,0.0,55.0,43.9,42.2,90.3,87.0,5495231,5282076,0,2640402,773857,28548,2854828,162.54,1.532
19677,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Cornelius Apts,306 Blanchard St,98121.0,7.0,DOWNTOWN,47.61419,-122.34354,1925,9,1.0,86560,0,0.0,60.0,52.0,51.3,159.0,156.5,3246193,3197137,0,3114282,912744,1319,131910,19.89,0.23
19679,2017,Multifamily HR (10+),High-Rise Multifamily,Security House,2225 4th Ave,98121.0,7.0,DOWNTOWN,47.61498,-122.3438,1978,13,1.0,91600,12365,0.0,23.0,54.0,53.2,169.5,166.9,4276721,4212124,0,4276720,1253435,0,0,17.69,0.193
19680,2017,Multifamily MR (5-9),Mid-Rise Multifamily,53442 -  The Shelby,2201 4Th Avenue,98121.0,7.0,DOWNTOWN,47.61463,-122.34328,2001,6,1.0,142063,0,0.0,83.0,39.4,38.7,115.7,113.9,2799808,2756128,0,2532524,742240,2672,267282,24.67,0.174
19682,2017,Multifamily MR (5-9),Mid-Rise Multifamily,The Audrey at Belltown,2922 Western Avenue,98121.0,7.0,DOWNTOWN,47.61687,-122.35376,1992,8,1.0,188717,53284,0.0,91.0,31.2,30.7,91.2,90.1,4222008,4161071,0,3791554,1111241,4304,430452,38.55,0.204
19685,2017,Multifamily LR (1-4),Low-Rise Multifamily,Bremer,2905 1st Ave,98121.0,7.0,DOWNTOWN,47.61678,-122.35317,1924,3,1.0,33400,0,0.0,82.0,56.4,56.1,90.2,89.5,1882328,1874795,0,496130,145407,13861,1386197,75.67,2.266
19690,2017,Multifamily MR (5-9),Mid-Rise Multifamily,The Banner Building,80 Vine Street,98121.0,7.0,DOWNTOWN,47.61473,-122.35055,1994,7,2.0,88144,3102,0.0,49.0,55.9,53.0,94.5,90.1,3028973,2868733,0,928450,272113,21005,2100523,115.4,1.309
19694,2017,SPS-District K-12,K-12 School,Mann Building (Nova High),2410 E. Cherry,98122.0,3.0,CENTRAL,47.60842,-122.30093,1925,2,1.0,37327,0,0.0,92.0,47.3,46.7,79.4,78.8,2313788,2283197,0,694901,203664,16188,1618885,88.85,2.38
19695,2017,Multifamily LR (1-4),Low-Rise Multifamily,Barclay Court,701 1st Avenue N,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.62563,-122.35596,2000,3,1.0,37619,0,0.0,75.0,30.9,30.3,68.1,67.5,1160826,1141041,0,642179,188211,5186,518647,30.2,0.803
19696,2017,NonResidential,Retail Store,Lane St. Goodwill,1400 South Lane St,98144.0,3.0,DOWNTOWN,47.59692,-122.31543,1917,2,1.0,147545,0,0.0,70.0,53.2,51.9,112.8,111.3,7852635,7652616,0,4020860,1178446,38317,3831774,220.14,1.492
19697,2017,Nonresidential COS,Other,North Substation,814 NE 75th ST,98115.0,4.0,NORTH,47.68339,-122.31947,1923,2,1.0,21462,0,0.0,,47.6,47.0,149.3,147.7,1235479,1222180,0,1235479,362098,0,0,5.11,0.238
19699,2017,Multifamily LR (1-4),Low-Rise Multifamily,Barrett Condo,2000 W Barrett,98199.0,7.0,MAGNOLIA / QUEEN ANNE,47.64675,-122.38242,1993,3,1.0,24178,0,0.0,94.0,19.5,19.2,52.4,51.6,672169,662944,0,526962,154444,1452,145206,9.89,0.409
19704,2017,Multifamily LR (1-4),Low-Rise Multifamily,Westview Apartment Homes,2525 14th Ave S,98144.0,2.0,GREATER DUWAMISH,47.58035,-122.31563,1918,3,1.0,107518,0,0.0,87.0,41.5,41.0,83.9,82.5,4463438,4409649,0,2074218,607918,23892,2389218,135.47,1.26
19706,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Bay Villa,1210 Alki Ave SW,98116.0,1.0,SOUTHWEST,47.59429,-122.38843,1997,6,1.0,30720,0,0.0,,31.4,30.7,75.8,74.4,963552,941935,0,630132,184681,3334,333420,20.31,0.661
