OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
49705,2016,Nonresidential COS,Other,Magnuson,7400 Sand Point Way NE,98115.0,4,NORTHEAST,47.68212,-122.2633,1929,0,8.0,502030,0,,,32.70000076,36.59999847,69.0,74.30000305,18470340,20672948,0.0,9359884,2743225.0,91104.54688,9110455,549.11,1.09
49706,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Terravita,514 E. Pine St.,98122.0,3,EAST,47.61543,-122.32474,2011,6,1.0,153767,0,,92.0,27.5,29.20000076,66.90000153,70.59999847,4225362,4485060,0.0,2799153,820384.8125,14262.08984,1426209,95.26,0.62
49707,2016,Multifamily MR (5-9),Mid-Rise Multifamily,View 420 LLC,420 Queen Anne Ave N,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62277,-122.35639,2012,6,1.0,43762,0,,97.0,23.89999962,24.60000038,75.0,77.30000305,665200,685504,0.0,665200,194959.0,0.0,0,4.64,0.11
49709,2016,NonResidential,Other,"Seattle ProCure Management, LLC.",1570 North 115th Street,98013.0,5,NORTHWEST,47.71286,-122.33635,2012,2,1.0,53575,0,,,593.5999756,593.5999756,1527.300049,1527.300049,31803568,31803568,0.0,23173477,6791757.5,86300.89063,8630089,619.9,11.57
49710,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyric,230 Broadway East,98102.0,3,EAST,47.62031168,-122.3208406,2012,7,1.0,224577,0,,100.0,29.0,29.29999924,71.5,71.90000153,7811542,7895507,0.0,5286113,1549271.125,25254.29102,2525429,170.98,0.76
49712,2016,NonResidential,Large Office,Home Plate Center,1501 1st Ave S,98134.0,2,GREATER DUWAMISH,47.58995,-122.33472,2012,6,1.0,157345,0,,63.0,73.90000153,74.09999847,228.8000031,229.1000061,11624548,11666007,0.0,11385578,3336922.0,2389.690186,238969,92.07,0.59
49714,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Barclay Broadway,412 Broadway,98122.0,3,EAST,47.60570526,-122.3203506,2012,6,1.0,94933,0,,100.0,27.5,29.10000038,65.5,68.90000153,2757855,2921981,0.0,1761658,516312.3125,9961.975586,996198,65.19,0.69
49715,2016,NonResidential,Residence Hall,Elm Hall,1218 NE Campus Pkwy,98195.0,4,NORTHEAST,47.65642,-122.31475,2012,5,1.0,136758,0,,90.0,30.29999924,32.20000076,66.40000153,70.09999847,6275367,6662918,0.0,3420620,1002526.313,28547.47656,2854748,175.46,1.28
49716,2016,NonResidential,Residence Hall,Alder Hall,1315 NE Campus Parkway,98195.0,4,NORTHEAST,47.65599,-122.31385,2012,7,1.0,192259,0,,72.0,44.90000153,47.59999847,110.6999969,116.4000015,8767617,9286532,0.0,5931729,1738490.25,28358.87891,2835888,191.97,1.0
49717,2016,Multifamily LR (1-4),Low-Rise Multifamily,Columbia City Station (Seattle Compliance Only),4484 M L King Jr. Way S,98108.0,2,SOUTHEAST,47.56337,-122.29446,2012,4,1.0,43210,0,,56.0,40.79999924,43.0,99.30000305,104.5999985,1764879,1856761,0.0,1167109,342060.0938,5977.699707,597770,39.88,0.92
